Smiles,He,H2,O2,N2,CO2,CH4
*CC(*)C,0.502306193,0.526252834,-0.549750892,-1.301284727,0.176091259,-1.351780891
*CC(*)C,0.824458066,0.696788204,-0.343901798,-1.223213356,0.29433335,-1.403903713
*CC(*)C,0.886440401,0.770438499,-0.227678293,-1.155367446,0.349394739,-1.432185458
*CC(*)C,0.803756591,0.686801068,-0.312471039,-1.19969933,0.338319519,-1.408772867
*CC(*)C,0.887087917,0.771273789,-0.214670165,-1.164774128,0.30695017,-1.422794101
*CC(*)C,0.800346105,0.867149113,0.045322979,-0.570255392,0.744470305,-0.326036937
*CC(*)C,0.801505536,1.323498546,-0.008773924,-0.827950457,0.534845228,-1.005663881
*CC(*)C,0.80854967,1.331082097,0,-0.815284073,0.544068044,-0.985086674
*CC(*)C,0.80854967,1.331082097,0,-0.815284073,0.544068044,-0.985086674
*CC(*)C,1.875061263,1.891293178,0.833784375,0.017703637,1.505149978,-0.349334675
*CC(*)C,1.451779422,1.597386864,0.567896437,-0.222498379,1.342422681,0.025521931
*CC(*)C,0.833784375,0.959041392,-0.199191054,-0.455931956,-0.906578315,-0.503819366
*CC(*)C,0.942008053,1.224574754,-0.039558569,-0.844305839,0.478566496,-0.992916964
*CC(*)C,2.443442063,2.711515945,2.359835482,1.643452676,2.963787827,1.995274748
*CC(*)C,1.944482672,2.233394551,2.000537332,1.643452676,2.740362689,2.079181246
*CC(*)C,1.079181246,0.983590207,0.230448921,-0.37675071,0.770852012,-0.126157257
*CC(*)C,0.716003344,0.916547998,-0.004364805,-0.638272164,0.361727836,-0.618679162
*CC(*)C,0.722633923,0.776701184,-0.056011125,-0.732828272,0.462397998,-0.797661665
*CC(*)C,1.153235419,1.209757321,0.354300562,-0.242679903,0.86421433,-0.070224414
*CC(*)C,1.082893033,1.071480104,0.2999429,-0.319845858,0.795949499,-0.053260784
*CC(*)C,1.015946244,0.966182321,0.237794993,-0.384786665,0.736635498,-0.096675884
*CC(*)C,1.068334313,1.15354606,0.379124146,-0.177178355,1.042425896,0.079381817
*CC(*)C,1.123454326,1.167748519,0.301029996,-0.30980392,0.911748837,-0.071631261
*CC(*)C,1.579783597,1.612783857,0.53257892,-0.280543065,1.314255297,0.018911648
*CC(*)C,0.919078092,1.146128036,0.643452676,0.079181246,1.575187845,0.230448921
*CC(*)C,1.12520621,1.086437508,0.160579093,-0.561249143,0.828015064,-0.537630473
*CC(*)CCCC,4.250420002,4.565847819,4.857332496,4.431363764,4.645422269,4.544068044
*CC(*)CC(C)C,1.899078417,2.127104798,1.531478917,0.973127854,2.443089139,1.230448921
*CC(*)CC(C)C,2.145499416,2.315970345,1.342422681,1.041392685,2.146736607,1.180190587
*CC(*)CC(C)C,2.081310553,2.252853031,1.397940009,0.785329835,1.899451268,0.973127854
*CC(*)CC(C)C,2.235027059,2.309444924,1.643452676,1.041392685,2.267267851,1.176091259
*CC(*)CC(C)C,2.141080916,2.285557309,1.380211242,0.806179974,1.904444984,0.982271233
*CC(*)CC(C)C,2.012837225,2.133538908,1.525044807,1.096910013,1.966610987,1.177713322
*CC(*)CC(C)C,1.989004616,2.252853031,1.460897843,0.937016107,2.10720997,1.137903449
*CC(*)CC(C)C,2.003907638,2.196734802,1.374458913,0.973221625,2.192591586,1.227180191
*CC(*)(C)C,0.909020854,0.812913357,0.070258062,-0.522878745,0.740362689,-0.2620995
*CC(*)(C)C,2.383991244,2.645800435,2.113943352,1.491361694,2.716003344,1.773516283
*CC(*)(C)C,1.198367654,1.198367654,0.534159756,0.01128101,1.119186408,-0.140450903
*CC(*)(C)C,0.925366382,1.354714855,0.724491454,0.222990129,1.274522445,0.624336386
*CC(*)(C)C,0.805092878,0.714916248,-0.194907122,-0.635599111,0.667919685,-0.194907122
*CC(*)(C)C,1.926685925,2.002083476,0.95169532,0.233317453,1.67505225,0.012549931
*/C=C/CC*,1.5132176,1.980315452,1.725911632,1.283301229,2.422940821,1.700617089
*/C=C/CC*,2.402648324,2.69422376,2.176941944,1.721246399,3.008569092,1.976304528
*C=CCC*,1.944482672,2.233394551,2.000537332,1.643452676,2.740362689,2.079181246
*C=CCC*,1.64158091,2.005677133,1.675488908,1.28055441,2.420216403,1.67951269
*C=CCC*,1.710995513,1.940020158,1.563184335,1.118608586,2.466274322,1.385580768
*C=CCC*,1.66199884,1.792465404,1.349635329,0.974783231,2.257643842,1.413199701
*C=CC1CCC(*)C1,0.962670396,1.322219295,0.447158031,0.176091259,1.187520721,0.397940009
*CC(*)c1ccccc1,0.57285418,0.868566835,0.419955748,-0.103473783,1.021189299,0.374279384
*CC(*)c1ccccc1,0.694598188,0.96189076,0.464693135,-0.02773566,1.100370545,0.445929602
*CC(*)c1ccccc1,1.175171999,1.275964931,0.346568112,-0.293737722,1.14663202,-0.046417388
*CC(*)c1ccccc1,1.301029996,1.4264285,0.446320422,-0.132170441,1.113943352,-0.096910013
*CC(*)c1ccccc1,1.195378625,1.269979677,0.61260639,-0.010493764,1.185363901,-0.077641886
*CC(*)c1ccccc1,0.895518878,0.956360554,0.0785847,-0.57322693,0.61843263,-0.460831798
*CC(*)c1ccccc1,1.610660163,1.766450316,0.873320602,0.414973348,1.367355921,0.431363764
*CC(*)c1ccccc1,2.437037784,2.69564582,2.041392685,1.462397998,2.944482672,1.766912643
